Date,HSBC,China Mobile,CLP Holdings,China Construction Bank,Haier Smart Home,Xiaomi Corporation
2021-12-20,45.5,46.349998474121094,77.5999984741211,5.269999980926514,31.25,17.6200008392334
2021-12-21,45.45000076293945,46.29999923706055,78.0,5.260000228881836,32.04999923706055,18.399999618530273
2021-12-22,45.70000076293945,46.29999923706055,78.1500015258789,5.269999980926514,32.400001525878906,18.5
2021-12-23,46.20000076293945,46.599998474121094,78.3499984741211,5.340000152587891,32.5,18.639999389648438
2021-12-24,46.45000076293945,47.75,78.19999694824219,5.369999885559082,31.600000381469727,18.639999389648438
2021-12-28,46.599998474121094,47.29999923706055,79.3499984741211,5.400000095367432,32.45000076293945,18.780000686645508
2021-12-29,46.849998474121094,47.20000076293945,79.44999694824219,5.409999847412109,31.950000762939453,18.559999465942383
2021-12-30,46.900001525878906,47.04999923706055,79.3499984741211,5.400000095367432,32.0,18.639999389648438
2021-12-31,46.900001525878906,46.79999923706055,78.75,5.400000095367432,32.900001525878906,18.899999618530273
2022-01-03,46.849998474121094,47.099998474121094,79.75,5.440000057220459,32.650001525878906,18.600000381469727
2022-01-04,47.79999923706055,48.0,79.5,5.510000228881836,32.04999923706055,18.559999465942383
2022-01-05,49.150001525878906,49.599998474121094,79.44999694824219,5.610000133514404,32.5,17.920000076293945
2022-01-06,49.0,49.150001525878906,78.75,5.550000190734863,33.29999923706055,18.1200008392334
2022-01-07,50.099998474121094,49.70000076293945,78.1500015258789,5.610000133514404,33.70000076293945,18.260000228881836
2022-01-10,51.70000076293945,50.29999923706055,77.8499984741211,5.75,33.0,18.520000457763672
2022-01-11,51.95000076293945,50.45000076293945,77.80000305175781,5.860000133514404,32.70000076293945,18.15999984741211
2022-01-12,52.75,50.79999923706055,77.25,5.800000190734863,33.75,18.81999969482422
2022-01-13,53.650001525878906,51.04999923706055,78.0999984741211,5.889999866485596,32.400001525878906,18.68000030517578
2022-01-14,54.54999923706055,50.79999923706055,77.80000305175781,5.889999866485596,31.850000381469727,18.639999389648438
2022-01-17,55.0,50.54999923706055,77.8499984741211,5.849999904632568,31.0,18.5
2022-01-18,54.54999923706055,50.599998474121094,78.0,5.869999885559082,31.049999237060547,18.6200008392334
2022-01-19,54.70000076293945,50.29999923706055,77.5999984741211,5.860000133514404,31.549999237060547,18.31999969482422
2022-01-20,54.400001525878906,50.5,78.0999984741211,5.869999885559082,32.599998474121094,18.899999618530273
2022-01-21,53.25,51.25,78.19999694824219,5.900000095367432,32.70000076293945,18.920000076293945
2022-01-24,53.29999923706055,52.29999923706055,78.4000015258789,5.940000057220459,32.29999923706055,18.200000762939453
2022-01-25,52.349998474121094,52.29999923706055,78.1500015258789,5.920000076293945,31.899999618530273,17.6200008392334
2022-01-26,53.900001525878906,53.400001525878906,78.05000305175781,5.940000057220459,31.350000381469727,17.440000534057617
2022-01-27,54.650001525878906,52.650001525878906,78.75,5.949999809265137,31.0,16.479999542236328
2022-01-28,55.599998474121094,52.54999923706055,79.0,5.960000038146973,30.100000381469727,16.260000228881836
2022-01-31,55.099998474121094,52.75,78.25,5.980000019073486,31.100000381469727,16.3799991607666
2022-02-04,57.900001525878906,54.349998474121094,78.80000305175781,6.059999942779541,31.700000762939453,16.579999923706055
